,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,Ushtobe,18,KZ,1567638162,59,45.25,77.98,59.58,6.46
1,Castro,0,CL,1567638162,34,-42.48,-73.76,50.0,6.93
2,Drexel Heights,1,US,1567638162,9,32.14,-111.03,107.01,13.87
3,Saldanha,1,PT,1567638163,52,41.42,-6.55,66.96,6.78
4,Victoria,90,BN,1567638009,88,5.28,115.24,78.8,2.86
5,Imeni Poliny Osipenko,100,RU,1567638163,89,52.42,136.49,63.18,1.61
6,Tuktoyaktuk,90,CA,1567638163,76,69.44,-133.03,51.8,10.29
7,Dingle,93,PH,1567638163,75,11.0,122.67,80.28,2.73
8,Avarua,73,CK,1567638078,61,-21.21,-159.78,77.0,20.8
9,Ushuaia,40,AR,1567637946,65,-54.81,-68.31,41.0,18.34
10,Ambilobe,64,MG,1567638164,71,-13.19,49.05,68.94,6.2
11,Sosnovka,0,RU,1567638164,76,53.23,41.37,52.02,7.85
12,Nikolskoye,0,RU,1567638164,76,59.7,30.79,60.01,2.24
13,Hermanus,82,ZA,1567637968,93,-34.42,19.24,57.0,22.68
14,Saskylakh,99,RU,1567638165,80,71.97,114.09,32.04,8.28
15,Vaini,98,IN,1567638165,92,15.34,74.49,75.06,6.62
16,Ulladulla,75,AU,1567638165,72,-35.36,150.48,61.0,3.36
17,Namatanai,94,PG,1567638165,83,-3.66,152.44,78.48,13.6
18,Bambous Virieux,75,MU,1567638165,100,-20.34,57.76,72.0,5.82
19,Grindavik,75,IS,1567638166,100,63.84,-22.43,50.0,16.11
20,Bourail,77,NC,1567638166,52,-21.57,165.5,69.66,9.71
21,Burgstadt,25,DE,1567638166,71,50.92,12.82,66.99,3.36
22,Rikitea,100,PF,1567637967,73,-23.12,-134.97,73.44,5.88
23,Jamestown,1,AU,1567637966,60,-33.21,138.6,59.22,8.3
24,Kapaa,20,US,1567638167,55,22.08,-159.32,91.4,14.99
25,Punta Arenas,0,CL,1567638000,75,-53.16,-70.91,41.0,3.36
26,Buala,69,SB,1567638167,82,-8.15,159.59,80.1,11.25
27,Esperance,40,AU,1567638097,93,-33.86,121.89,42.8,10.29
28,Upernavik,89,GL,1567638167,89,72.79,-56.15,41.76,14.76
29,Codrington,0,AU,1567638167,76,-28.95,153.24,73.0,8.05
30,Khatanga,100,RU,1567638168,58,71.98,102.47,37.08,8.46
31,Fairbanks,75,US,1567638146,55,64.84,-147.72,61.0,4.7
32,Ahipara,67,NZ,1567638168,100,-35.17,173.16,61.0,30.13
33,Hobart,75,AU,1567638018,70,-42.88,147.33,54.0,9.17
34,Severo-Kurilsk,21,RU,1567638168,95,50.68,156.12,50.04,15.95
35,Oktyabrskiy,0,RU,1567638169,72,55.61,37.97,63.0,4.47
36,Quzhou,21,CN,1567638169,84,28.97,118.86,76.86,1.34
37,Ponta do Sol,49,BR,1567638169,32,-20.63,-46.0,79.74,6.73
38,Chipata,0,ZM,1567638169,48,-13.64,32.65,63.54,4.97
39,Karpogory,73,RU,1567638169,97,64.0,44.44,54.54,5.99
40,Mayumba,48,GA,1567638170,88,-3.44,10.65,73.08,7.31
41,Ixtapa,90,MX,1567638170,74,20.71,-105.21,87.8,6.93
42,Honningsvag,58,NO,1567638170,78,70.98,25.97,49.14,15.64
43,Seabra,0,BR,1567638170,79,-12.42,-41.77,63.0,10.07
44,Abonnema,88,NG,1567638170,87,4.71,6.79,77.22,6.82
45,Narsaq,3,GL,1567638171,61,60.91,-46.05,50.0,16.11
46,Cape Town,0,ZA,1567638171,71,-33.93,18.42,59.0,19.46
47,Luwuk,79,ID,1567638053,77,-0.95,122.79,66.96,3.18
48,Adrar,0,DZ,1567638152,21,27.87,-0.29,89.6,9.17
